ward,precinct,total,democratic,republican,percentDemocratic
9,34,366,345,17,0.942622950819672
9,35,405,385,13,0.950617283950617
9,36,381,369,8,0.968503937007874
9,37,670,566,88,0.844776119402985
9,38,431,412,14,0.955916473317865
9,39,461,448,10,0.971800433839479
9,40,480,462,13,0.9625
9,41,369,352,14,0.953929539295393
9,42,455,435,15,0.956043956043956
9,43,411,385,19,0.936739659367396
9,44,373,365,8,0.978552278820375
9,45,363,350,9,0.964187327823691
9,46,417,389,23,0.932853717026379
9,47,456,445,5,0.975877192982456
9,48,462,446,14,0.965367965367965
9,49,478,460,15,0.96234309623431
9,50,603,579,19,0.960199004975124
9,51,423,408,12,0.964539007092198
10,1,388,349,34,0.899484536082474
10,2,486,290,189,0.596707818930041
10,3,525,343,177,0.653333333333333
10,4,385,352,30,0.914285714285714
10,5,412,267,138,0.648058252427184
10,6,428,329,94,0.768691588785047
10,7,365,298,61,0.816438356164383
10,8,269,245,21,0.910780669144982
10,9,481,304,174,0.632016632016632
10,10,531,388,136,0.730696798493409
10,11,619,491,118,0.793214862681745
10,12,354,261,89,0.73728813559322
10,13,437,378,53,0.864988558352403
10,14,624,488,131,0.782051282051282
10,15,799,764,25,0.956195244055069
10,16,390,267,112,0.684615384615385
10,17,656,420,224,0.640243902439024
10,18,288,268,16,0.930555555555556
10,19,515,361,147,0.700970873786408
10,20,515,404,105,0.784466019417476
10,21,513,382,124,0.744639376218323
10,22,288,234,49,0.8125
10,23,425,347,71,0.816470588235294
10,24,511,303,204,0.592954990215264
10,25,141,134,5,0.950354609929078
10,26,355,304,43,0.856338028169014
10,27,438,399,37,0.910958904109589
10,28,553,455,92,0.822784810126582
10,29,516,421,87,0.815891472868217
10,30,454,361,81,0.795154185022026
10,31,414,354,54,0.855072463768116
10,32,514,391,120,0.760700389105058
10,33,382,324,54,0.848167539267016
10,34,344,305,36,0.886627906976744
10,35,532,353,173,0.663533834586466
10,36,131,114,15,0.870229007633588
11,1,627,443,166,0.706539074960128
11,2,54,39,15,0.722222222222222
11,3,607,540,51,0.889621087314662
11,4,523,377,140,0.720841300191205
11,5,762,592,141,0.776902887139108
11,6,904,767,122,0.848451327433628
11,7,568,500,59,0.880281690140845
11,8,565,418,139,0.739823008849558
11,9,539,358,166,0.664192949907236
11,10,620,412,199,0.664516129032258
11,11,682,467,204,0.68475073313783
11,12,772,339,420,0.439119170984456
11,13,748,334,400,0.446524064171123
11,14,422,238,177,0.563981042654028
11,15,247,173,68,0.700404858299595
11,16,447,274,163,0.612975391498881
11,17,716,541,155,0.755586592178771
11,18,517,322,183,0.622823984526112
11,19,783,590,165,0.753512132822477
11,20,445,264,174,0.593258426966292
11,21,705,398,291,0.564539007092199
11,22,737,500,223,0.67842605156038
11,23,340,204,122,0.6
11,24,640,369,259,0.5765625
11,25,742,537,187,0.723719676549865
11,26,630,423,189,0.671428571428571
11,27,258,166,86,0.643410852713178
11,28,292,156,131,0.534246575342466
11,29,699,404,283,0.577968526466381
11,30,352,220,132,0.625
11,31,607,325,276,0.535420098846787
11,32,276,127,143,0.460144927536232
11,33,771,607,150,0.787289234760052
11,34,249,152,96,0.610441767068273
11,35,138,82,52,0.594202898550725
11,36,300,196,99,0.653333333333333
11,37,230,177,48,0.769565217391304
